Date,Open,High,Low,Close,Adj Close,Volume
2019-05-07,2913.03,2913.03,2862.6,2884.05,2884.05,3767100000
2019-05-08,2879.61,2897.96,2873.28,2879.42,2879.42,3485790000
2019-05-09,2859.84,2875.97,2836.4,2870.72,2870.72,3638820000
2019-05-10,2863.1,2891.31,2825.39,2881.4,2881.4,3529600000
2019-05-13,2840.19,2840.19,2801.43,2811.87,2811.87,3894030000
2019-05-14,2820.12,2852.54,2820.12,2834.41,2834.41,3322720000
2019-05-15,2820.38,2858.68,2815.08,2850.96,2850.96,3125950000
2019-05-16,2855.8,2892.15,2855.8,2876.32,2876.32,3338060000
2019-05-17,2858.6,2885.48,2854.23,2859.53,2859.53,3257950000
2019-05-20,2841.94,2853.86,2831.29,2840.23,2840.23,3288870000
2019-05-21,2854.02,2868.88,2854.02,2864.36,2864.36,3218700000
2019-05-22,2856.06,2865.47,2851.11,2856.27,2856.27,3192510000
2019-05-23,2836.7,2836.7,2805.49,2822.24,2822.24,3891980000
2019-05-24,2832.41,2841.36,2820.19,2826.06,2826.06,2887390000
2019-05-28,2830.03,2840.51,2801.58,2802.39,2802.39,4121410000
2019-05-29,2790.25,2792.03,2766.06,2783.02,2783.02,3700050000
2019-05-30,2786.94,2799.0,2776.74,2788.86,2788.86,3273790000
2019-05-31,2766.15,2768.98,2750.52,2752.06,2752.06,3981020000
2019-06-03,2751.53,2763.07,2728.81,2744.45,2744.45,3943810000
2019-06-04,2762.64,2804.49,2762.64,2803.27,2803.27,3810430000
2019-06-05,2818.09,2827.28,2800.92,2826.15,2826.15,3548830000
2019-06-06,2828.51,2852.1,2822.45,2843.49,2843.49,3396410000
2019-06-07,2852.87,2884.97,2852.87,2873.34,2873.34,3220250000
2019-06-10,2885.83,2904.77,2885.51,2886.73,2886.73,3209210000
2019-06-11,2903.27,2910.61,2878.53,2885.72,2885.72,3548420000
2019-06-12,2882.73,2888.57,2874.68,2879.84,2879.84,3034130000
2019-06-13,2886.24,2895.24,2881.99,2891.64,2891.64,3069810000
2019-06-14,2886.82,2894.45,2879.62,2886.98,2886.98,2922330000
2019-06-17,2889.75,2897.27,2887.3,2889.67,2889.67,2810140000
2019-06-18,2906.71,2930.79,2905.44,2917.75,2917.75,3437620000
2019-06-19,2920.55,2931.74,2911.43,2926.46,2926.46,3287890000
2019-06-20,2949.6,2958.06,2931.5,2954.18,2954.18,3905940000
2019-06-21,2952.71,2964.15,2946.87,2950.46,2950.46,5000120000
2019-06-24,2951.42,2954.92,2944.05,2945.35,2945.35,3136250000
2019-06-25,2945.78,2946.52,2916.01,2917.38,2917.38,3578050000
2019-06-26,2926.07,2932.59,2912.99,2913.78,2913.78,3478130000
2019-06-27,2919.66,2929.3,2918.57,2924.92,2924.92,3122920000
2019-06-28,2932.94,2943.98,2929.05,2941.76,2941.76,5420700000
2019-07-01,2971.41,2977.93,2952.22,2964.33,2964.33,3513270000
2019-07-02,2964.66,2973.21,2955.92,2973.01,2973.01,3206840000
2019-07-03,2978.08,2995.84,2977.96,2995.82,2995.82,1963720000
2019-07-05,2984.25,2994.03,2967.97,2990.41,2990.41,2434210000
2019-07-08,2979.77,2980.76,2970.09,2975.95,2975.95,2904550000
2019-07-09,2965.52,2981.9,2963.44,2979.63,2979.63,3028210000
2019-07-10,2989.3,3002.98,2984.62,2993.07,2993.07,3154240000
2019-07-11,2999.62,3002.33,2988.8,2999.91,2999.91,3154620000
2019-07-12,3003.36,3013.92,3001.87,3013.77,3013.77,2974960000
2019-07-15,3017.8,3017.8,3008.77,3014.3,3014.3,2874970000
2019-07-16,3012.13,3015.02,3001.15,3004.04,3004.04,3290650000
2019-07-17,3005.1,3005.26,2984.25,2984.42,2984.42,3181600000
2019-07-18,2978.87,2998.28,2973.09,2995.11,2995.11,3296580000
2019-07-19,3004.26,3006.02,2975.86,2976.61,2976.61,3260360000
2019-07-22,2981.93,2990.71,2976.65,2985.03,2985.03,3003720000
2019-07-23,2994.74,3005.9,2988.56,3005.47,3005.47,3313660000
2019-07-24,2998.77,3019.59,2996.82,3019.56,3019.56,3428980000
2019-07-25,3016.26,3016.31,2997.24,3003.67,3003.67,3645270000
2019-07-26,3013.25,3027.98,3012.59,3025.86,3025.86,3257590000
2019-07-29,3024.47,3025.61,3014.3,3020.97,3020.97,3203710000
2019-07-30,3007.66,3017.19,3000.94,3013.18,3013.18,3634330000
2019-07-31,3016.22,3017.4,2958.08,2980.38,2980.38,4623430000
2019-08-01,2980.32,3013.59,2945.23,2953.56,2953.56,4762300000
2019-08-02,2943.9,2945.5,2914.11,2932.05,2932.05,3874660000
2019-08-05,2898.07,2898.07,2822.12,2844.74,2844.74,4513730000
2019-08-06,2861.18,2884.4,2847.42,2881.77,2881.77,4154240000
2019-08-07,2858.65,2892.17,2825.71,2883.98,2883.98,4491750000
2019-08-08,2896.21,2938.72,2894.47,2938.09,2938.09,4106370000
2019-08-09,2930.51,2935.75,2900.15,2918.65,2918.65,3350640000
2019-08-12,2907.07,2907.58,2873.14,2882.7,2882.7,2851630000
2019-08-13,2880.72,2943.31,2877.05,2926.32,2926.32,3853600000
2019-08-14,2894.15,2894.15,2839.64,2840.6,2840.6,4312530000
2019-08-15,2846.2,2856.67,2825.51,2847.6,2847.6,4038000000
2019-08-16,2864.74,2893.63,2864.74,2888.68,2888.68,3498150000
2019-08-19,2913.48,2931.0,2913.48,2923.65,2923.65,3212880000
2019-08-20,2919.01,2923.63,2899.6,2900.51,2900.51,3066300000
2019-08-21,2922.04,2928.73,2917.91,2924.43,2924.43,3011190000
2019-08-22,2930.94,2939.08,2904.51,2922.95,2922.95,2890880000
2019-08-23,2911.07,2927.01,2834.97,2847.11,2847.11,3937300000
2019-08-26,2866.7,2879.27,2856.0,2878.38,2878.38,2857600000
2019-08-27,2893.14,2898.79,2860.59,2869.16,2869.16,3533630000
2019-08-28,2861.28,2890.03,2853.05,2887.94,2887.94,3097420000
2019-08-29,2910.37,2930.5,2905.67,2924.58,2924.58,3176190000
2019-08-30,2937.09,2940.43,2913.32,2926.46,2926.46,3008450000
2019-09-03,2909.01,2914.39,2891.85,2906.27,2906.27,3426790000
2019-09-04,2924.67,2938.84,2921.86,2937.78,2937.78,3163260000
2019-09-05,2960.6,2985.86,2960.6,2976.0,2976.0,3890700000
2019-09-06,2980.33,2985.03,2972.51,2978.71,2978.71,3208280000
2019-09-09,2988.43,2989.43,2969.39,2978.43,2978.43,4002890000
2019-09-10,2971.01,2979.39,2957.01,2979.39,2979.39,4390770000
2019-09-11,2981.41,3000.93,2975.31,3000.93,3000.93,3927550000
2019-09-12,3009.08,3020.74,3000.92,3009.57,3009.57,3791860000
2019-09-13,3012.21,3017.33,3002.9,3007.39,3007.39,3520060000
2019-09-16,2996.41,3002.19,2990.67,2997.96,2997.96,4274640000
2019-09-17,2995.67,3006.21,2993.73,3005.7,3005.7,3671840000
2019-09-18,3001.5,3007.83,2978.57,3006.73,3006.73,3435540000
2019-09-19,3010.36,3021.99,3003.16,3006.79,3006.79,3251290000
2019-09-20,3008.42,3016.37,2984.68,2992.07,2992.07,6094740000
2019-09-23,2983.5,2999.15,2982.23,2991.78,2991.78,3186590000
2019-09-24,3002.43,3007.98,2957.73,2966.6,2966.6,3868160000
2019-09-25,2968.35,2989.82,2952.86,2984.87,2984.87,3318870000
2019-09-26,2985.73,2987.28,2963.71,2977.62,2977.62,3077240000
2019-09-27,2985.47,2987.31,2945.53,2961.79,2961.79,3243650000
2019-09-30,2967.07,2983.85,2967.07,2976.74,2976.74,3247610000
2019-10-01,2983.69,2992.53,2938.7,2940.25,2940.25,3558040000
2019-10-02,2924.78,2924.78,2874.93,2887.61,2887.61,3912520000
2019-10-03,2885.38,2911.13,2855.94,2910.63,2910.63,3503640000
2019-10-04,2918.56,2953.74,2918.56,2952.01,2952.01,2990830000
2019-10-07,2944.23,2959.75,2935.68,2938.79,2938.79,2940140000
2019-10-08,2920.4,2925.47,2892.66,2893.06,2893.06,3356450000
2019-10-09,2911.1,2929.32,2907.41,2919.4,2919.4,2726820000
2019-10-10,2918.55,2948.46,2917.12,2938.13,2938.13,3217250000
2019-10-11,2963.07,2993.28,2963.07,2970.27,2970.27,3580460000
2019-10-14,2965.81,2972.84,2962.94,2966.15,2966.15,2557020000
2019-10-15,2973.61,3003.28,2973.61,2995.68,2995.68,3340740000
2019-10-16,2989.68,2997.54,2985.2,2989.69,2989.69,3222570000
2019-10-17,3000.77,3008.29,2991.79,2997.95,2997.95,3115960000
2019-10-18,2996.84,3000.0,2976.31,2986.2,2986.2,3264290000
2019-10-21,2996.48,3007.33,2995.35,3006.72,3006.72,3271620000
2019-10-22,3010.73,3014.57,2995.04,2995.99,2995.99,3523890000
2019-10-23,2994.01,3004.78,2991.21,3004.52,3004.52,3392870000
2019-10-24,3014.78,3016.07,3000.42,3010.29,3010.29,3692600000
2019-10-25,3003.32,3027.39,3001.94,3022.55,3022.55,3370370000
2019-10-28,3032.12,3044.08,3032.12,3039.42,3039.42,3521230000
2019-10-29,3035.39,3047.87,3034.81,3036.89,3036.89,3589930000
2019-10-30,3039.74,3050.1,3025.96,3046.77,3046.77,3776030000
2019-10-31,3046.9,3046.9,3023.19,3037.56,3037.56,4139280000
2019-11-01,3050.72,3066.95,3050.72,3066.91,3066.91,3930200000
2019-11-04,3078.96,3085.2,3074.87,3078.27,3078.27,4146850000
2019-11-05,3080.8,3083.95,3072.15,3074.62,3074.62,4486130000
2019-11-06,3075.1,3078.34,3065.89,3076.78,3076.78,4458190000
2019-11-07,3087.02,3097.77,3080.23,3085.18,3085.18,4144640000
2019-11-08,3081.25,3093.09,3073.58,3093.08,3093.08,3499150000
2019-11-11,3080.33,3088.33,3075.82,3087.01,3087.01,3035530000
2019-11-12,3089.28,3102.61,3084.73,3091.84,3091.84,3466010000
2019-11-13,3084.18,3098.06,3078.8,3094.04,3094.04,3509280000
2019-11-14,3090.75,3098.2,3083.26,3096.63,3096.63,3276070000
2019-11-15,3107.92,3120.46,3104.6,3120.46,3120.46,3335650000
2019-11-18,3117.91,3124.17,3112.06,3122.03,3122.03,3436690000
2019-11-19,3127.45,3127.64,3113.47,3120.18,3120.18,3590070000
2019-11-20,3114.66,3118.97,3091.41,3108.46,3108.46,4034890000
2019-11-21,3108.49,3110.11,3094.55,3103.54,3103.54,3720560000
2019-11-22,3111.41,3112.87,3099.26,3110.29,3110.29,3226780000
2019-11-25,3117.44,3133.83,3117.44,3133.64,3133.64,3511530000
2019-11-26,3134.85,3142.69,3131.0,3140.52,3140.52,4595590000
2019-11-27,3145.49,3154.26,3143.41,3153.63,3153.63,3033090000
2019-11-29,3147.18,3150.3,3139.34,3140.98,3140.98,1743020000
2019-12-02,3143.85,3144.31,3110.78,3113.87,3113.87,3268740000
2019-12-03,3087.41,3094.97,3070.33,3093.2,3093.2,3653390000
2019-12-04,3103.5,3119.38,3102.53,3112.76,3112.76,3695030000
2019-12-05,3119.21,3119.45,3103.76,3117.43,3117.43,3355750000
2019-12-06,3134.62,3150.6,3134.62,3145.91,3145.91,3479480000
2019-12-09,3141.86,3148.87,3135.46,3135.96,3135.96,3345990000
2019-12-10,3135.36,3142.12,3126.09,3132.52,3132.52,3343790000
2019-12-11,3135.75,3143.98,3133.21,3141.63,3141.63,3252540000
2019-12-12,3141.23,3176.28,3138.47,3168.57,3168.57,3990690000
2019-12-13,3166.65,3182.68,3156.51,3168.8,3168.8,3736870000
2019-12-16,3183.63,3197.71,3183.63,3191.45,3191.45,4051790000
2019-12-17,3195.4,3198.22,3191.03,3192.52,3192.52,3837540000
2019-12-18,3195.21,3198.48,3191.14,3191.14,3191.14,4014080000
2019-12-19,3192.32,3205.48,3192.32,3205.37,3205.37,3720450000
2019-12-20,3223.33,3225.65,3216.03,3221.22,3221.22,6454270000
2019-12-23,3226.05,3227.78,3222.3,3224.01,3224.01,3060610000
2019-12-24,3225.45,3226.43,3220.51,3223.38,3223.38,1296540000
2019-12-26,3227.2,3240.08,3227.2,3239.91,3239.91,2160680000
2019-12-27,3247.23,3247.93,3234.37,3240.02,3240.02,2428670000
2019-12-30,3240.09,3240.92,3216.57,3221.29,3221.29,3013290000
2019-12-31,3215.18,3231.72,3212.03,3230.78,3230.78,2893810000
2020-01-02,3244.67,3258.14,3235.53,3257.85,3257.85,3458250000
2020-01-03,3226.36,3246.15,3222.34,3234.85,3234.85,3461290000
2020-01-06,3217.55,3246.84,3214.64,3246.28,3246.28,3674070000
2020-01-07,3241.86,3244.91,3232.43,3237.18,3237.18,3420380000
2020-01-08,3238.59,3267.07,3236.67,3253.05,3253.05,3720890000
2020-01-09,3266.03,3275.58,3263.67,3274.7,3274.7,3638390000
2020-01-10,3281.81,3282.99,3260.86,3265.35,3265.35,3212970000
2020-01-13,3271.13,3288.13,3268.43,3288.13,3288.13,3456380000
2020-01-14,3285.35,3294.25,3277.19,3283.15,3283.15,3665130000
2020-01-15,3282.27,3298.66,3280.69,3289.29,3289.29,3716840000
2020-01-16,3302.97,3317.11,3302.82,3316.81,3316.81,3535080000
2020-01-17,3323.66,3329.88,3318.86,3329.62,3329.62,3698170000
2020-01-21,3321.03,3329.79,3316.61,3320.79,3320.79,4105340000
2020-01-22,3330.02,3337.77,3320.04,3321.75,3321.75,3619850000
2020-01-23,3315.77,3326.88,3301.87,3325.54,3325.54,3764860000
2020-01-24,3333.1,3333.18,3281.53,3295.47,3295.47,3707130000
2020-01-27,3247.16,3258.85,3234.5,3243.63,3243.63,3823100000
2020-01-28,3255.35,3285.78,3253.22,3276.24,3276.24,3526720000
2020-01-29,3289.46,3293.47,3271.89,3273.4,3273.4,3584500000
2020-01-30,3256.45,3285.91,3242.8,3283.66,3283.66,3787250000
2020-01-31,3282.33,3282.33,3214.68,3225.52,3225.52,4527830000
2020-02-03,3235.66,3268.44,3235.66,3248.92,3248.92,3757910000
2020-02-04,3280.61,3306.92,3280.61,3297.59,3297.59,3995320000
2020-02-05,3324.91,3337.58,3313.75,3334.69,3334.69,4117730000
2020-02-06,3344.92,3347.96,3334.39,3345.78,3345.78,3868370000
2020-02-07,3335.54,3341.42,3322.12,3327.71,3327.71,3730650000
2020-02-10,3318.28,3352.26,3317.77,3352.09,3352.09,3450350000
2020-02-11,3365.87,3375.63,3352.72,3357.75,3357.75,3760550000
2020-02-12,3370.5,3381.47,3369.72,3379.45,3379.45,3926380000
2020-02-13,3365.9,3385.09,3360.52,3373.94,3373.94,3498240000
2020-02-14,3378.08,3380.69,3366.15,3380.16,3380.16,3398040000
2020-02-18,3369.04,3375.01,3355.61,3370.29,3370.29,3746720000
2020-02-19,3380.39,3393.52,3378.83,3386.15,3386.15,3600150000
2020-02-20,3380.45,3389.15,3341.02,3373.23,3373.23,4007320000
2020-02-21,3360.5,3360.76,3328.45,3337.75,3337.75,3899270000
2020-02-24,3257.61,3259.81,3214.65,3225.89,3225.89,4842960000
2020-02-25,3238.94,3246.99,3118.77,3128.21,3128.21,5591510000
2020-02-26,3139.9,3182.51,3108.99,3116.39,3116.39,5478110000
2020-02-27,3062.54,3097.07,2977.39,2978.76,2978.76,7058840000
2020-02-28,2916.9,2959.72,2855.84,2954.22,2954.22,8563850000
2020-03-02,2974.28,3090.96,2945.19,3090.23,3090.23,6376400000
2020-03-03,3096.46,3136.72,2976.63,3003.37,3003.37,6355940000
2020-03-04,3045.75,3130.97,3034.38,3130.12,3130.12,5035480000
2020-03-05,3075.7,3083.04,2999.83,3023.94,3023.94,5575550000
2020-03-06,2954.2,2985.93,2901.54,2972.37,2972.37,6552140000
2020-03-09,2863.89,2863.89,2734.43,2746.56,2746.56,8423050000
2020-03-10,2813.48,2882.59,2734.0,2882.23,2882.23,7635960000
2020-03-11,2825.6,2825.6,2707.22,2741.38,2741.38,7374110000
2020-03-12,2630.86,2660.95,2478.86,2480.64,2480.64,8829380000
2020-03-13,2569.99,2711.33,2492.37,2711.02,2711.02,8258670000
2020-03-16,2508.59,2562.98,2380.94,2386.13,2386.13,7781540000
2020-03-17,2425.66,2553.93,2367.04,2529.19,2529.19,8358500000
2020-03-18,2436.5,2453.57,2280.52,2398.1,2398.1,8755780000
2020-03-19,2393.48,2466.97,2319.78,2409.39,2409.39,7946710000
2020-03-20,2431.94,2453.01,2295.56,2304.92,2304.92,9044690000
2020-03-23,2290.71,2300.73,2191.86,2237.4,2237.4,7402180000
2020-03-24,2344.44,2449.71,2344.44,2447.33,2447.33,7547350000
2020-03-25,2457.77,2571.42,2407.53,2475.56,2475.56,8285670000
2020-03-26,2501.29,2637.01,2500.72,2630.07,2630.07,7753160000
2020-03-27,2555.87,2615.91,2520.02,2541.47,2541.47,6194330000
2020-03-30,2558.98,2631.8,2545.28,2626.65,2626.65,5746220000
2020-03-31,2614.69,2641.39,2571.15,2584.59,2584.59,6568290000
2020-04-01,2498.08,2522.75,2447.49,2470.5,2470.5,5947900000
2020-04-02,2458.54,2533.22,2455.79,2526.9,2526.9,6454990000
2020-04-03,2514.92,2538.18,2459.96,2488.65,2488.65,6087190000
2020-04-06,2578.28,2676.85,2574.57,2663.68,2663.68,6391860000
2020-04-07,2738.65,2756.89,2657.67,2659.41,2659.41,7040720000
2020-04-08,2685.0,2760.75,2663.3,2749.98,2749.98,5856370000
2020-04-09,2776.99,2818.57,2762.36,2789.82,2789.82,7880140000
2020-04-13,2782.46,2782.46,2721.17,2761.63,2761.63,5274310000
2020-04-14,2805.1,2851.85,2805.1,2846.06,2846.06,5567400000
2020-04-15,2795.64,2801.88,2761.54,2783.36,2783.36,5203390000
2020-04-16,2799.34,2806.51,2764.32,2799.55,2799.55,5179990000
2020-04-17,2842.43,2879.22,2830.88,2874.56,2874.56,5792140000
2020-04-20,2845.62,2868.98,2820.43,2823.16,2823.16,5220160000
2020-04-21,2784.81,2785.54,2727.1,2736.56,2736.56,5075830000
2020-04-22,2787.89,2815.1,2775.95,2799.31,2799.31,5049660000
2020-04-23,2810.42,2844.9,2794.26,2797.8,2797.8,5756520000
2020-04-24,2812.64,2842.71,2791.76,2836.74,2836.74,5374480000
2020-04-27,2854.65,2887.72,2852.89,2878.48,2878.48,5194260000
2020-04-28,2909.96,2921.15,2860.71,2863.39,2863.39,5672880000
2020-04-29,2918.46,2954.86,2912.16,2939.51,2939.51,6620140000
2020-04-30,2930.91,2930.91,2892.47,2912.43,2912.43,6523120000
2020-05-01,2869.09,2869.09,2821.61,2830.71,2830.71,4753160000
2020-05-04,2815.01,2844.24,2797.85,2842.74,2842.74,4723140000
2020-05-05,2868.88,2898.23,2863.55,2868.44,2868.44,5129590000
2020-05-06,2883.14,2891.11,2847.65,2848.42,2848.42,4861920000
2020-05-07,2878.26,2901.92,2876.48,2881.19,2881.19,5164640000
2020-05-08,2908.83,2932.16,2902.88,2929.8,2929.8,4857160000
2020-05-11,2915.46,2944.25,2903.44,2930.19,2930.19,4807320000
2020-05-12,2939.5,2945.82,2869.59,2870.12,2870.12,5107710000
2020-05-13,2865.86,2874.14,2793.15,2820.0,2820.0,6143130000
2020-05-14,2794.54,2852.8,2766.64,2852.5,2852.5,5641920000
2020-05-15,2829.95,2865.01,2816.78,2863.7,2863.7,5477040000
2020-05-18,2913.86,2968.09,2913.86,2953.91,2953.91,6364290000
2020-05-19,2948.59,2964.21,2922.35,2922.94,2922.94,4969330000
2020-05-20,2953.63,2980.29,2953.63,2971.61,2971.61,4992970000
2020-05-21,2969.95,2978.5,2938.57,2948.51,2948.51,4966940000
2020-05-22,2948.05,2956.76,2933.59,2955.45,2955.45,3952800000
2020-05-26,3004.08,3021.72,2988.17,2991.77,2991.77,5837060000
2020-05-27,3015.65,3036.25,2969.75,3036.13,3036.13,6371230000
2020-05-28,3046.61,3068.67,3023.4,3029.73,3029.73,5402670000
2020-05-29,3025.17,3049.17,2998.61,3044.31,3044.31,7275080000
